PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3,Age,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3,Age
1,0,3,male,22.0,1,0,7.25,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
2,1,1,female,38.0,1,0,71.2833,C,1,0,1,0,0,1,0,0,"(20, 40]",1,0,1,0,0,1,0,0,"(20, 40]"
3,1,3,female,26.0,0,0,7.925,S,1,0,0,0,1,0,0,1,"(20, 40]",1,0,0,0,1,0,0,1,"(20, 40]"
4,1,1,female,35.0,1,0,53.1,S,1,0,0,0,1,1,0,0,"(20, 40]",1,0,0,0,1,1,0,0,"(20, 40]"
5,0,3,male,35.0,0,0,8.05,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
6,0,3,male,28.0,0,0,8.4583,Q,0,1,0,1,0,0,0,1,"(20, 40]",0,1,0,1,0,0,0,1,"(20, 40]"
7,0,1,male,54.0,0,0,51.8625,S,0,1,0,0,1,1,0,0,"(40, 60]",0,1,0,0,1,1,0,0,"(40, 60]"
8,0,3,male,2.0,3,1,21.075,S,0,1,0,0,1,0,0,1,"(0, 10]",0,1,0,0,1,0,0,1,"(0, 10]"
9,1,3,female,27.0,0,2,11.1333,S,1,0,0,0,1,0,0,1,"(20, 40]",1,0,0,0,1,0,0,1,"(20, 40]"
10,1,2,female,14.0,1,0,30.0708,C,1,0,1,0,0,0,1,0,"(10, 20]",1,0,1,0,0,0,1,0,"(10, 20]"
11,1,3,female,4.0,1,1,16.7,S,1,0,0,0,1,0,0,1,"(0, 10]",1,0,0,0,1,0,0,1,"(0, 10]"
12,1,1,female,58.0,0,0,26.55,S,1,0,0,0,1,1,0,0,"(40, 60]",1,0,0,0,1,1,0,0,"(40, 60]"
13,0,3,male,20.0,0,0,8.05,S,0,1,0,0,1,0,0,1,"(10, 20]",0,1,0,0,1,0,0,1,"(10, 20]"
14,0,3,male,39.0,1,5,31.275,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
15,0,3,female,14.0,0,0,7.8542,S,1,0,0,0,1,0,0,1,"(10, 20]",1,0,0,0,1,0,0,1,"(10, 20]"
16,1,2,female,55.0,0,0,16.0,S,1,0,0,0,1,0,1,0,"(40, 60]",1,0,0,0,1,0,1,0,"(40, 60]"
17,0,3,male,2.0,4,1,29.125,Q,0,1,0,1,0,0,0,1,"(0, 10]",0,1,0,1,0,0,0,1,"(0, 10]"
18,1,2,male,28.0,0,0,13.0,S,0,1,0,0,1,0,1,0,"(20, 40]",0,1,0,0,1,0,1,0,"(20, 40]"
19,0,3,female,31.0,1,0,18.0,S,1,0,0,0,1,0,0,1,"(20, 40]",1,0,0,0,1,0,0,1,"(20, 40]"
20,1,3,female,28.0,0,0,7.225,C,1,0,1,0,0,0,0,1,"(20, 40]",1,0,1,0,0,0,0,1,"(20, 40]"
21,0,2,male,35.0,0,0,26.0,S,0,1,0,0,1,0,1,0,"(20, 40]",0,1,0,0,1,0,1,0,"(20, 40]"
22,1,2,male,34.0,0,0,13.0,S,0,1,0,0,1,0,1,0,"(20, 40]",0,1,0,0,1,0,1,0,"(20, 40]"
23,1,3,female,15.0,0,0,8.0292,Q,1,0,0,1,0,0,0,1,"(10, 20]",1,0,0,1,0,0,0,1,"(10, 20]"
24,1,1,male,28.0,0,0,35.5,S,0,1,0,0,1,1,0,0,"(20, 40]",0,1,0,0,1,1,0,0,"(20, 40]"
25,0,3,female,8.0,3,1,21.075,S,1,0,0,0,1,0,0,1,"(0, 10]",1,0,0,0,1,0,0,1,"(0, 10]"
